acronym,expansion,hits,sources,rank,n_candidates,mined_items,mined_natural
אא״ב,אבות אכלו בוסר,16,wiktionary,1,2,3,0
אא״ב,אי אמרת בשלמא,1,wiktionary,2,2,0,0
אא״ג,אף אוזן גרון,270,wiktionary,1,2,3,0
אא״ג,אלקטרואנצפלוגרף; תרשים הפעילות החשמלית של המוח,0,wiktionary,2,2,0,0
אא״ע,ארגון אמהות עובדות,40,wiktionary,1,2,3,0
אא״ע,אחראי איכות ענפי,0,wiktionary,2,2,0,0
אבט״ש,אבטחת יישובים,7,wiktionary,1,2,3,0
אבט״ש,אבטחה שוטפת,1,wiktionary,2,2,1,0
אבי״ר,"אדוננו, בוראנו, יוצרנו ורופאנו - מידותיו של הקדוש ברוך הוא",0,wiktionary,1,2,0,0
אבי״ר,"אמונה, ביטחון, יראה ורחמנות - מידותיו של הלוחם",0,wiktionary,2,2,0,0
אב״ג,אוניברסיטת בן-גוריון,2313,wiktionary,1,4,3,0
אב״ג,אבא גוריון,191,wiktionary,2,4,3,0
אב״ג,אברהם בר גוטלובר,43,wiktionary,3,4,3,0
אב״ג,ארכיון בן-גוריון,15,wikipedia,4,4,1,0
אב״ד,אב בית דין,627,wiktionary,1,2,3,0
אב״ד,אוירודינמיקה בלתי דחיסה,0,wiktionary,2,2,0,0
אב״י,אליעזר בן־יהודה,556,wiktionary,1,2,6,3
אב״י,אבן יקרה,63,wiktionary,2,2,3,0
אב״ם,אזור ביטחוני מיוחד,1,wiktionary,1,4,0,0
אב״ם,(חיל האוויר) אבטחת מידע,0,wiktionary,2,4,0,0
אב״ם,אבטחת מִבצעים,0,wiktionary,3,4,0,0
אב״ם,"אגף האִרגון, הבקרה והמִנהל",0,wiktionary,4,4,0,0
אב״מ,אבטחת מידע,807,wiktionary,1,2,3,0
אב״מ,אין בעד מה,15,wiktionary,2,2,3,0
אב״צ,אקדמיה בזמן צבא,1,wiktionary,1,3,0,0
אב״צ,אבטחת ציבור,0,wiktionary,2,3,0,0
אב״צ,אביזר צמוד,0,wiktionary,3,3,0,0
אב״ש,אבינו שבשמיים,24,wiktionary,1,2,3,0
אב״ש,אבן שושן (המילונאי הנודע),0,wiktionary,2,2,0,0
אגו״ז,"איכון, גילוי וזיהוי",0,wiktionary,1,2,0,0
אגו״ז,אנטי גרילה ולוחמה זעירה,0,wiktionary,2,2,0,0
אג״ם,אגף המבצעים,409,wiktionary,1,3,3,0
אג״ם,אגף המטה,42,wiktionary,2,3,3,0
אג״ם,אגף המטה הכללי,19,wiktionary,3,3,3,0
אג״מ,אגף מבצעים,195,wiktionary,1,2,3,0
אג״מ,אגף מטה,26,wiktionary,2,2,3,0
אג״ס,אגודת סטודנטים,107,wiktionary,1,3,2,0
אג״ס,אזור גאוגרפי-סטטיסטי,0,wiktionary,2,3,0,0
אג״ס,"איתור, גילוי, סימון",0,wiktionary,3,3,0,0
אד״ש,אדר שני,26,wiktionary,1,3,0,0
אד״ש,אינו דוחה שבת,1,wiktionary,2,3,1,0
אד״ש,אחר דרישת שלומו,0,wiktionary,3,3,0,0
אה״ב,ארצות הברית,106217,wiktionary,1,4,3,0
אה״ב,את הבית,3121,wiktionary,2,4,3,0
אה״ב,את הבשר,231,wiktionary,3,4,3,0
אה״ב,את הבהמה,72,wiktionary,4,4,3,0
אה״ק,ארץ הקודש,537,wiktionary,1,3,3,0
אה״ק,ארון הקודש,534,wiktionary,2,3,3,0
אה״ק,אוסילטור הרמוני קוונטי,1,wiktionary,3,3,0,0
או״א,אב ואם,255,wiktionary,1,3,3,0
או״א,אלוהינו ואלוהי אבותינו,7,wiktionary,2,3,2,0
או״א,לוגיקה אם ורק אם,0,wiktionary,3,3,0,0
או״ח,אורח חיים,3517,wiktionary,1,2,3,0
או״ח,אינטרנט ומידע חיוני,0,wiktionary,2,2,0,0
או״פ,או פסול,70,wiktionary,1,4,1,0
או״פ,אוניברסיטה פתוחה,20,wiktionary,2,4,3,0
או״פ,אור פנימי,9,wiktionary,3,4,3,0
או״פ,אברים ופדרים,0,wiktionary,4,4,0,0
או״ק,אות קריאה,510,wiktionary,1,2,3,0
או״ק,אישות וקבורה,0,wiktionary,2,2,0,0
אז״ר,אלכסנדר זיסקינד רבינוביץ',44,wiktionary,1,2,0,0
אז״ר,אויב זרק רימון,0,wiktionary,2,2,0,0
אחב״י,אחינו בית ישראל,21,wiktionary,1,2,1,0
אחב״י,אחינו בני ישראל,21,wiktionary,2,2,1,0
אחמ״ש,אחראי משמרת,11,wiktionary,1,2,3,0
אחמ״ש,אִחוד משפחות,0,wiktionary,2,2,0,0
אח״ז,אחרי זה,380,wiktionary,1,2,3,0
אח״ז,אחר זמנו,4,wiktionary,2,2,0,0
אח״י,אניית חיל הים,7,wiktionary,1,2,2,0
אח״י,אחזקה יבשה,0,wiktionary,2,2,0,0
אח״ם,אגף החקירות והמודיעין,144,wikipedia,1,2,3,0
אח״ם,אישיות חשובה מאוד,9,wikipedia,2,2,1,0
אח״מ,אחרי מות,1104,wiktionary,1,5,3,0
אח״מ,אחר מכן,27,wiktionary,2,5,3,0
אח״מ,אגף חקירות ומודיעין,25,wiktionary,3,5,3,0
אח״מ,אישיות חשובה מאוד,9,wiktionary,4,5,1,0
אח״מ,"אחר מיתה, אחר מוֹת־",0,wiktionary,5,5,0,0
איו״ב,(חתימה של סופר עברי) אני יוסף בריל,0,wiktionary,1,2,0,0
איו״ב,אשרי יושבי ביתך (מילים פותחות פרק בתהלים ובתפילה),0,wiktionary,2,2,0,0
איו״ש,אזור יהודה ושומרון,184,wiktionary,1,2,5,2
איו״ש,אריכות ימים ושנים,1,wiktionary,2,2,0,0
אי״ה,ארץ ישראל השלמה,427,wiktionary,1,2,3,0
אי״ה,אם ירצה השם,7,wiktionary,2,2,2,0
אי״ל,ארגון יהודי לוחם,12,wiktionary,1,2,3,0
אי״ל,אגודה ישראלית לסכרת,0,wiktionary,2,2,0,0
אל״ם,אלוף משנה,2519,wiktionary,1,3,0,0
אל״ם,ארגון לא־ממשלתי,144,wiktionary,2,3,0,0
אל״ם,אביגדור בן שמחה הלוי מגלוגוי,2,wikipedia,3,3,0,0
אמ״ט,אינו מטמא,51,wiktionary,1,2,3,0
אמ״ט,אזור מוגן טילים,3,wiktionary,2,2,0,0
אמ״ם,אם ורק אם,973,wiktionary,1,2,3,0
אמ״ם,אמצעים מיוחדים,79,wiktionary,2,2,3,0
אמ״ן,אגף מודיעין,41,wiktionary,1,2,6,3
אמ״ן,אל מלך נאמן,8,wiktionary,2,2,2,0
אמ״ץ,אותו מצב,59,wiktionary,1,3,3,0
אמ״ץ,אדוני/אדונינו מורה צדק,0,wiktionary,2,3,0,0
אמ״ץ,אזור מוכה ציפורים,0,wiktionary,3,3,0,0
אמ״ש,אגף משאבי אנוש,143,wiktionary,1,2,3,0
אמ״ש,אוויר מים אש,7,wiktionary,2,2,1,0
אס״י,האגודה הסוציולוגית הישראלית,51,wiktionary,1,3,3,0
אס״י,ארגון ספרני ישראל,5,wiktionary,2,3,1,0
אס״י,אבטחת סיור,0,wiktionary,3,3,0,0
אס״ק,אווירת סוף קו,0,wiktionary,1,3,0,0
אס״ק,אווירת סוף קורס,0,wiktionary,2,3,0,0
אס״ק,אי ספיקה (רפואה),0,wiktionary,3,3,0,0
אצ״ל,ארגון צבאי לאומי,29,wiktionary,1,2,4,1
אצ״ל,אין צריך לומר,7,wiktionary,2,2,1,0
אש״ל,אין שומעין לו,7,wiktionary,1,3,2,0
אש״ל,איפה שלמה,7,wiktionary,2,3,3,0
אש״ל,אכילה שתיה לינה,1,wiktionary,3,3,0,0
את״ד,האגודה לתרבות הדיור,53,wiktionary,1,2,2,0
את״ד,אלו תמצית דבריו,0,wiktionary,2,2,0,0
את״ל,אגף תמיכה לוגיסטית,96,wiktionary,1,6,2,0
את״ל,אם תאמר לי,1,wiktionary,2,6,1,0
את״ל,אי תימא לי (אם תאמר לי),0,wiktionary,3,6,0,0
את״ל,אם תמצא לומר (אם תוכל לומר),0,wiktionary,4,6,0,0
את״ל,אם תקשה לך,0,wiktionary,5,6,0,0
את״ל,אם תרצה לידע,0,wiktionary,6,6,0,0
א״א,אי אפשר,2522,wiktionary,1,28,3,0
א״א,אדר א',1529,wiktionary,2,28,0,0
א״א,אברהם אבינו,361,wiktionary,3,28,3,0
א״א,אמן אמן,262,wiktionary,4,28,0,0
א״א,אין אדם,242,wiktionary,5,28,3,0
א״א,אשת איש,148,wiktionary,6,28,3,0
א״א,אין אומרים,122,wiktionary,7,28,3,0
א״א,אדרת אליהו,84,wiktionary,8,28,3,0
