acronym,expansion_a,hits_a,expansion_b,hits_b,similarity,decision
"מל״ל","המוסד לביטוח לאומי",619,"מוסד לביטוח לאומי",3,0.971,merge
"מהר״ם","רבי מאיר איזנשטט",18,"רבי מאיר איזנשטטר",8,0.97,merge
"מד״ן","מספן המודיעין",79,"מספן מודיעין",13,0.96,merge
"מהר״ם","רבי משה מינץ",16,"רבי משה ממינץ",1,0.96,merge
"חקש״ב","חוקר שבויים",13,"חוקרת שבויים",0,0.957,keep
"חרל״פ","חייא ראש לגולי פורטוגל",1,"חייא ראש לגליל פורטוגל",0,0.955,
"יר״א","ירא אלוהים",15,"יראי אלוהים",11,0.952,keep
"ח״ן","חכמת הנסתר",11,"חכמת נסתר",3,0.947,merge
"כנלע״ד","כך נראה לעניות דעתי",0,"כן נראה לעניות דעתי",0,0.947,merge
"מדמ״ח","מדעי המחשב",1398,"מדעי מחשב",11,0.947,merge
"מהר״ם","מהר""ם ס""ל",132,"מהר""ם סג""ל",4,0.947,keep
"סמ״ר","סמל ראשון",336,"סמ""ל ראשון",0,0.947,merge
"פומ״ה","פורץ מכשולים הנדסי",7,"פורץ מכשולים הנדסיים",0,0.947,merge
"ר״א","רבי אלעזר",1466,"רבי אליעזר",1345,0.947,keep
"בדא״ח","בדרך אחרת",436,"בדרך אחת",39,0.941,keep
"יר״ש","יראת שמים",131,"ירא שמים",69,0.941,keep
"אחב״י","אחינו בית ישראל",21,"אחינו בני ישראל",21,0.933,keep
"מ״מ","מילימטר",1632,"מילי מטר",0,0.933,merge
"אס״ק","אווירת סוף קו",0,"אווירת סוף קורס",0,0.929,keep
"א״ל","אמר לו",1124,"אמר להו",33,0.923,merge
"רע״מ","הרשימה הערבית המאוחדת",73,"רשימה ערבית מאוחדת",10,0.923,merge
"כצ״ל","כך צריך לומר",0,"כן צריך לומר",0,0.917,merge
"מל״ל","משה לייב ליליינבלום",204,"משה ליב לילנבלום",1,0.914,merge
"נע״ג","נוחו עדן גן",0,"נחלו עדן גן",0,0.909,keep
"סל״ש","אנגלית: bps",0,"אנגלית: rps",0,0.909,keep
"ע״ג","על גבי",12046,"על גב",680,0.909,merge
"ע״י","על ידי",215915,"על יד",3106,0.909,keep
"ע״ס","על סמך",5878,"על סך",1063,0.909,keep
"קק״ל","קילו קלוריה",3,"קילו־קלוריה",3,0.909,merge
"יאע״ה","יעקב אבינו עליו השלום",4,"יצחק אבינו עליו השלום",1,0.905,keep
"מד״ח","משוואות דיפרנציאליות חלקיות",103,"משוואה דיפרנציאלית חלקית",56,0.902,keep
"א״א","אין אומרים",122,"אין אומרין",6,0.9,keep
"דב״ז","דברים זוטא",4,"דברים זוטי",1,0.9,keep
"ז״ק","זרע קדושים (שם משפחה)",0,"זרע קודש (שם משפחה)",0,0.9,keep
"מד״ס","מדריך ספורט",19,"מדי ספורט",3,0.9,keep
"סג״ל","סגולת לויים",0,"סגל לויים",0,0.9,merge
"מהרש״ק","מורנו הרב רבי שלמה קלוגר",0,"מורנו הרב רבי שלמה קרלינר",0,0.898,keep
"ממ״ק","מיליון מטר מעוקב",59,"מילימטר מעוקב",5,0.897,keep
"ריב״ש","רבי יצחק בר ששת",11,"ר' יצחק בר ששת",6,0.897,merge
"אב״ג","אוניברסיטת בן-גוריון",2313,"אוניברסיטת בן-גוריון בנגב",1758,0.889,merge
"אל״ם","אלוף משנה",2519,"אלוף-משנה",2519,0.889,merge
"ב״י","בני ישראל",2034,"בית ישראל",996,0.889,keep
"יט״א","יאט""א",577,"יט""א",31,0.889,keep
"מפמ״ר","מפקד מרכז",128,"מפקח מרכז",6,0.889,keep
"סג״ל","סגל לויים",0,"סגן לויים",0,0.889,keep
"א״בדב״ס","אלפא ביתא דבן סירא",20,"אלף בית דבן סירא",1,0.882,merge
"מס״ב","מרכז סליקה בנקאי",8,"מערכת סליקה בנקאית",1,0.882,keep
"עכת״ד","עד כאן תוכן דבריו",0,"עד כאן תורף דבריו",0,0.882,merge
"הכנ״ג","הכנסת הגדולה",50,"הכנסיה הגדולה",6,0.88,keep
"הרא״ה","הרב אברהם יצחק הכהן קוק",554,"רבי אברהם (יצחק) הכהן (קוק)",16,0.88,merge
"קס״ד","קא סלקא דעתיה",0,"קא סלקא דעתך",0,0.88,merge
"ב״ב","בני ברית",876,"בני ביתו",141,0.875,keep
"מלח״ם","המרכז לחקר מערות",36,"המדור לחקר מערות",2,0.875,merge
"קרפ״ח","קצין רפואה חילי",7,"קצין רפואה חטיבתי",4,0.875,keep
"חרל״פ","חייא ראש לבני פולין",0,"חייא ראש לגולי פולין",0,0.872,keep
"הועה״מ","הועד המרכזי",7,"הועדה המרכזת",2,0.87,keep
"ע״א","עבודת אלילים",153,"עובד אלילים",40,0.87,keep
"ריב״א","רבי יצחק בן אשר הלוי השני",2,"רבי יצחק בן אשר הלוי משפיירא",2,0.868,keep
"רמ״א","ראש להק מבצעי אוויר (בראשי תיבות: רמ""א)",1,"ראש מחלקת אוויר (בראשי תיבות: רמ""א)",1,0.865,keep
"a","לפני",94689,"לפי",79146,0.857,keep
"א״ל","אמר ליה",126,"אמר להו",33,0.857,keep
"א״ת","אל תאמר",124,"אם תאמר",11,0.857,keep
"ב״ק","שמואל בק (רב)",6,"שמואל בק (צייר)",4,0.857,keep
