acronym,verdict,sense_count,expansion,merge_group,hits
ה״ט,mine,2,הלכה ט',1,185
ה״ט,mine,2,האי טעמא - זה הטעם,0,0
בס״ט,mine,2,בעל שם טוב,1,116
בס״ט,mine,2,בן ספרד טהור,0,0
ד״ט,mine,2,דף ט,0,25
ד״ט,mine,2,ד טפחים,0,0
הועה״מ,mine,4,הועד המרכזי,3,7
הועה״מ,mine,4,הועדה המרכזת,2,2
הועה״מ,mine,4,הועדה המתמדת,4,1
הועה״מ,mine,4,הועדה המסדרת,1,0
מלמ״ש,mine,2,מיליון מטר מעוקב לשנה,1,6
מלמ״ש,mine,2,מרכז ללימודי משטרה,2,1
עב״ס,mine,2,ערך בסיכון,0,6
עב״ס,mine,2,עבודות בסיס,0,1
מחב״ש,reject,2,מחלקת ביטחון שדה,0,6
מחב״ש,reject,2,מלוגמא חמין במוצאי שבת,0,0
נר״ו,mine,3,נפש רוח ונשמה,3,6
נר״ו,mine,3,נַטְרֵיהּ רַחֲמָנָא וּפַרְקִיהּ (ישמרהו הרחמן ויפדהו),1,0
נר״ו,mine,3,נטריה רחמנא וחיננא,1,0
נר״ו,mine,3,נצרהו רחמנא ונטרהו,2,0
בי״ר,mine,2,ביאליק-רבניצקי,0,5
בי״ר,mine,2,בן יוסף רופא (שם משפחה),0,0
שב״ד,mine,2,שליחי בית דין,0,4
שב״ד,mine,2,שופטי בית דין,0,0
שליט״א,,1,שיחיה לאורך ימים טובים אמן,1,4
שליט״א,,1,"שיזכה לחיים (גם: לימים) יפים, טובים וארוכים",1,0
שליט״א,,1,שיזכה לחיים יותר טובים אמן,1,0
שליט״א,,1,שיזכה לימים טובים וארוכים,1,0
ברב״ש,mine,4,בן רבי שניאור,0,3
ברב״ש,mine,4,בן רבי בונים שמואל,0,0
ברב״ש,mine,4,ברבנו בכור שור,0,0
ברב״ש,mine,4,ברן בן שמעון,0,0
גר',mine,4,גְּרָם,0,2
גר',mine,4,גֵּרים,0,1
גר',mine,4,"גָּרַס, גרסינן",0,0
גר',mine,4,גרמא - תוצאה לא ישרה של מעשה,0,0
ה״מ,mine,5,הפסקת מסחר,0,3
ה״מ,mine,5,הוה מצי (=היה יכול),0,0
ה״מ,mine,5,"היכי מצי (=איפה מצינו, איך אפשר)",0,0
ה״מ,mine,5,הני מילי (=מילים אילו),0,0
ה״מ,mine,5,הערת מתרגם,0,0
לע״ז,mine,2,לשון עם זר,0,3
לע״ז,mine,2,גזירת נוטריקון מן המילה לעז המשנאית,0,0
נגה״ש,mine,2,נס גדול היה שם,0,3
נגה״ש,mine,2,"המקור הוא ביידיש, לפי ארבע אפשרויות במשחק הגרלה",0,0
חרד״ק,mine,3,חרדי קל דעת,0,2
חרד״ק,mine,3,חתן (או חכם) רבי דוד קמחי,0,0
חרד״ק,mine,3,חתן ר' דוד קלונימוס (קלמן),0,0
יס״ב,mine,2,יד סולדת בו,0,2
יס״ב,mine,2,יחידת סיור הבנקים,0,0
מג״מ,mine,2,מפקד גף מטוסים,0,2
מג״מ,mine,2,מרכז גיוס מרחבי,0,0
ממ״י,mine,2,מִנהל מקרקעי ישראל,0,2
ממ״י,mine,2,משפט מגדיר יחס,0,0
נוג״ה,mine,2,נורדיה גנות הדר,0,2
נוג״ה,mine,2,נוער וגיל ההתבגרות,0,0
בזנ״ט,reject,2,ברזל זווית נגד טנקים,0,1
בזנ״ט,reject,2,"בהשאלה, סלנג דבר חזק ומשובח",0,0
דנ״א,mine,2,דיון נוסף אזרחי,0,1
דנ״א,mine,2,DNA. תעתוק עברי של חומצה דאוקסיריבונוקלאית,0,0
ודו״ק,mine,4,ודייק ותמצא קל,1,1
ודו״ק,mine,4,דרוש וחקור קרוב,0,0
ודו״ק,mine,4,ודוחק קצת,0,0
ודו״ק,mine,4,ודקדק ומצא קושטא,0,0
ודו״ק,mine,4,ועיין דברי ותמצאם קלים,1,0
חרל״פ,mine,3,חייא ראש לגולי פורטוגל,1,1
חרל״פ,mine,3,חייא ראש לבני פולין,2,0
חרל״פ,mine,3,חייא ראש לגליל פורטוגל,1,0
חרל״פ,mine,3,"חכמים, רבנים, למדנים, פרשנים",3,0
למ״ה,mine,2,למורי הרב,0,1
למ״ה,mine,2,לא מפי הרב,0,0
ל״ג,reject,3,לא גרסינן,0,1
ל״ג,reject,3,גימטריה 33,0,0
ל״ג,reject,3,למד הפועל גרונית,0,0
מב״ט,mine,2,מטוס בלי טייס,0,1
מב״ט,mine,2,מרכז בקרה טכנולוגי,0,0
פס״ד,mine,2,פסידא דלקוחות,2,1
פס״ד,mine,2,פסק(י) דין,1,0
ראב״ד,reject,2,ראש בית דין או ראש אבות בתי דין,0,1
ראב״ד,reject,2,שם משפחה נפוץ אצל יהדות יוצאי אירופה,0,0
תפ״ח,,1,תיק פשעים חמורים,1,1
תפ״ח,,1,תיק פלילי חמור,1,0
אבי״ר,mine,2,"אדוננו, בוראנו, יוצרנו ורופאנו - מידותיו של הקדוש ברוך הוא",1,0
אבי״ר,mine,2,"אמונה, ביטחון, יראה ורחמנות - מידותיו של הלוחם",2,0
אגו״ז,reject,2,"איכון, גילוי וזיהוי",0,0
אגו״ז,reject,2,אנטי גרילה ולוחמה זעירה,0,0
איו״ב,reject,2,(חתימה של סופר עברי) אני יוסף בריל,0,0
איו״ב,reject,2,אשרי יושבי ביתך (מילים פותחות פרק בתהלים ובתפילה),0,0
בע״ח,mine,2,"בעל חוב, בעל חובו, בעלי חוב",1,0
בע״ח,mine,2,"בעל חיים, בעלי חיים",2,0
ברי״ט,mine,2,בן רבי ישראל טוביה,0,0
ברי״ט,mine,2,בני רבי יום טוב,0,0
דחב״ש,,1,דור חורבן בית שני,1,0
דחב״ש,,1,דור חכמי בית שני,1,0
ה״נ,mine,2,הוה נמי (=היה גם),0,0
ה״נ,mine,2,הכא/הכי נמי (=כאן/כך גם),0,0
ונ״ל,mine,2,ונקל להבין,0,0
ונ״ל,mine,2,ונראה לומר,0,0
חר״ג,mine,2,חרם (ד)רבינו גרשום,0,0
חר״ג,mine,2,חתן רבי גבריאל,0,0
ט״ז,mine,2,המספר שש עשרה בגימטריה,0,0
ט״ז,mine,2,חיבורו של רבי דוד הלוי סגל על השולחן ערוך,0,0
יט״א,mine,2,יחידת טיפול אוויר,0,0
יט״א,mine,2,יחידת טיפול אקלים,0,0
יע״א,mine,2,יחוננך עליון אמן,0,0
יע״א,mine,2,"יכתב על עיר: 1.יגן עליה (עליך, עלינו, וכו') אלהים",0,0
כנ״ל,mine,3,כך נראה לי (או: כן נראה לי),3,0
כנ״ל,mine,3,"כנאמר לעיל (או: כנזכר לעיל, כנכתב לעיל)",1,0
כנ״ל,mine,3,כנאמר לקמן כנזכר להלן,1,0
כנ״ל,mine,3,כנכון לגביי,2,0
למל״מ,mine,2,לא מועיל לא מזיק,1,0
למל״מ,mine,2,לא מריח לא מסריח,2,0
ל״ב,reject,2,להגמל במאסר,1,0
ל״ב,reject,2,שלושים ושניים בגימטריה,0,0
מה״ט,mine,2,המכון הממשלת להכשרה בטכנולוגיה ובמדע,1,0
מה״ט,mine,2,מהאי טעמא,2,0
עה״ת,mine,2,(חיבור פרשני) על התורה,1,0
עה״ת,mine,2,ערך היסק תחתון,2,0
ערעור,reject,2,אי הסכמה עם טענה,0,0
ערעור,reject,2,"עקירת יסודות, ביטול יציבות של דבר עומד",0,0
פמ״א,mine,2,פנים מאירות (ספר),1,0
פמ״א,mine,2,פרח מטה אהרן (ספר),2,0
ש״ה,reject,3,שִׁיר הַיִּחוּד the Hymn of Unity,0,0
ש״ה,reject,3,שִׁיר הַמַּעֲלוֹת Song of Degrees,0,0
ש״ה,reject,3,שֵֹם הַמְפׂרָשׁ the Ineffable Name,0,0
תל״ן,mine,2,תוצר לאומי נקי,0,0
תל״ן,mine,2,תכנית לימודים נוספת,0,0
