acronym,page_title,expansion,hits,script,initials_match,looks_like_person,source,domain,raw_line
AI,AI,בינה מלאכותית,1793,latin,,False,wikipedia+wiktionary,,# Artificial Intelligence</br>[[בינה מלאכותית]].
AI,AI,אמריקן איידול,305,latin,,False,wikipedia,,אמריקן איידול (AI) - תוכנית מציאות אמריקנית
AI,AI,איי וייוויי,24,latin,,False,wikipedia,,איי וייוויי – אמן סיני
AI,AI,אדובי אילוסטרייטור,15,latin,,False,wikipedia,,אדובי אילוסטרייטור (Adobe Illustrator)
AI,AI,אינטליגנציה מלאכותית (סרט),5,latin,,False,wikipedia,,אינטליגנציה מלאכותית (סרט) (A.I. Artificial Intelligence) - סרט מדע בדיוני אמריקני
AI,AI,מד אופק מלאכותי,4,latin,,False,wikipedia,,מד אופק מלאכותי (Attitude Indicator)
AI,AI,קלט אנלוגי,2,latin,,False,wikipedia,,קלט אנלוגי (Analog Input)
AI,AI,A.I. (שיר של ואן ריפאבליק),1,latin,,False,wikipedia,,A.I. (שיר של ואן ריפאבליק)
AI,AI,A.i. (להקה),1,latin,,False,wikipedia,,A.i. (להקה) - להקה אמריקנית
AI,AI,ad interim (ביטוי לטיני),1,latin,,False,wikipedia,,ad interim (ביטוי לטיני) - לפי שעה
AI,AI,איי איי (זמרת),1,latin,,False,wikipedia,,איי איי (זמרת) - זמרת-יוצרת יפנית-אמריקנית
AI,AI,נוגד-קרח,0,latin,,False,wiktionary,,# Anti-Ice.</br>נוגד-קרח. מערכת להפשרת הצטברויות קרח.
ATM,ATM,כספומט,53,latin,,False,wikipedia,,"כספומט – מסוף אוטומטי המספק שירותי בנקאות; נקרא באנגלית ""ATM"", קיצור של Automatic Teller Machine"
ATM,ATM,ATM (שיר),2,latin,,False,wikipedia,,"ATM (שיר) – שיר של ג'יי קול, ראשי תיבות של ""Addicted To Money"""
BCC,BCC,העתק נסתר,0,latin,,False,wiktionary,,# <small>דואר אלקטרוני</small> Blind Carbon Copy.</br>העתק נסתר.
BCC,BCC,קוביה ממורכזת-גוף,0,latin,,False,wiktionary,,# <small>קריסטלוגרפיה</small> Body Centered Cube</br>קוביה ממורכזת-גוף.
BPM,BPM,120 פעימות בדקה,45,latin,,False,wikipedia,,120 פעימות בדקה – סרט קולנוע צרפתי
BPM,BPM,מכללת BPM,34,latin,,False,wikipedia,,"מכללת BPM – מוסד ישראלי ללימוד מקצועות המוזיקה, הסאונד וההפקה המוזיקלית"
BPM,BPM,ניהול תהליכים עסקיים,9,latin,,False,wikipedia,,ניהול תהליכים עסקיים – תוכנת תשתית המתארת ומבצעת תהליכים עסקיים באמצעות מחשב
CDC,CDC,"(בתרגום חופשי ""לכידת מידע שהשתנה"")",21,latin,,False,wikipedia,,"(בתרגום חופשי ""לכידת מידע שהשתנה"") – אוסף תבניות עיצוב תוכנה שנועדו לנטר שינויים אחרונים במסד נתונים"
CDC,CDC,מרכז ידיעות קרב,13,latin,,True,wikipedia,,"מרכז ידיעות קרב (Combat Direction Center, ""מרכז הנחיית קרב"") – סוג של מרכז טקטי הנמצא בספינות מלחמה, צוללות ומטוסי שליטה ובקרה צבאיים"
CDC,CDC,תאגיד קונטרול דאטה,1,latin,,False,wikipedia,,תאגיד קונטרול דאטה (Control Data Corporation) – חברת מחשבים אמריקאית שפעלה בשנים 1957–1992
DNA,DNA (פירושונים),DNA (אלבום),5,latin,,False,wikipedia,,DNA (אלבום) – אלבום הבכורה של ליטל מיקס משנת 2012
DNA,DNA (פירושונים),מולקולת ענק של חומצת גרעין הבנויה כשרשרת נוקלאוטידים,3,latin,,False,wikipedia,,DNA – מולקולת ענק של חומצת גרעין הבנויה כשרשרת נוקלאוטידים
DNA,DNA (פירושונים),DNA (שיר של ליטל מיקס),2,latin,,False,wikipedia,,DNA (שיר של ליטל מיקס) – שיר הנושא של האלבום
DNA,DNA (פירושונים),DNA (שיר של BTS) משנת 2017,1,latin,,False,wikipedia,,DNA (שיר של BTS) משנת 2017
LCD,LCD,המחלק המשותף הקטן ביותר,0,latin,,False,wiktionary,,# <small>מתמטיקה</small> Lowest common denominator.</br>המחלק המשותף הקטן ביותר.
LCD,LCD,מסך הפועל על עקרון של גבישים נוזליים,0,latin,,False,wiktionary,,# <small>אלקטרוניקה</small> Liquid crystal display.</br>מסך הפועל על עקרון של גבישים נוזליים.
NBL,NBL,ליגת ה-NBL,48,latin,,True,wikipedia,,ליגת ה-NBL (National Basketball League) – ליגת עבר אמריקאית בכדורסל (1937–1949) שהתמזגה עם ליגת ה-BAA ליצירת ה-NBA
NBL,NBL,ליגת העל האוסטרלית בכדורסל,18,latin,,False,wikipedia,,ליגת העל האוסטרלית בכדורסל (National Basketball League) – ליגת הכדורסל הלאומית של אוסטרליה
NBL,NBL,ליגת העל הצ'כית בכדורסל,4,latin,,False,wikipedia,,ליגת העל הצ'כית בכדורסל (Národní basketbalová liga) - ליגת הכדורסל הבכירה בצ'כיה
NBL,NBL,המעבדה לציפה נייטרלית,2,latin,,True,wikipedia,,"המעבדה לציפה נייטרלית (Neutral Buoyancy Laboratory) - מתקן של נאס""א ביוסטון לאימון אסטרונאוטים בתנאי חוסר משקל"
NBL,NBL,קיצור לשמו של החומר n-בוטילליתיום,1,latin,,False,wikipedia,,"קיצור לשמו של החומר n-בוטילליתיום (n-butyllithium), ראו בוטילליתיום"
NGA,NGA,הקוד של ניגריה בתקן ISO 3166-1,1,latin,,False,wikipedia,,הקוד של ניגריה בתקן ISO 3166-1
NGA,NGA,ראשי תיבות באנגלית של אגודת המושלים הלאומית בארצות הברית,1,latin,,False,wikipedia,,ראשי תיבות באנגלית של אגודת המושלים הלאומית בארצות הברית
NGA,NGA,ראשי תיבות באנגלית של הגלריה הלאומית לאמנות בארצות הברית,1,latin,,False,wikipedia,,ראשי תיבות באנגלית של הגלריה הלאומית לאמנות בארצות הברית
NGA,NGA,ראשי תיבות באנגלית של הגלריה הלאומית של אוסטרליה,1,latin,,False,wikipedia,,ראשי תיבות באנגלית של הגלריה הלאומית של אוסטרליה
NSC,NSC,המועצה לביטחון לאומי של ארצות הברית,73,latin,,False,wikipedia,,"המועצה לביטחון לאומי של ארצות הברית – באנגלית: National Security Council, הגוף המייעץ לנשיא ארצות הברית בנושאי מדיניות חוץ וביטחון לאומי"
NSC,NSC,חוזה חברתי חדש,12,latin,,False,wikipedia,,"חוזה חברתי חדש – בהולנדית: Nieuw Sociaal Contract, מפלגה פוליטית בהולנד שהושקה והובלה על ידי פיטר אומטזיכט"
