acronym,verdict,expansion,expansion_kept,hits
עמ״נ,mine,על-מנת,1,46031
עמ״נ,mine,עתודת מיקוש ניידת,1,0
אל״ם,mine,אלוף משנה,1,2519
אל״ם,mine,ארגון לא־ממשלתי,1,144
אל״ם,mine,אביגדור בן שמחה הלוי מגלוגוי,1,2
א״ט,mine,ארוך־טווח,1,1244
א״ט,mine,אַב־טִיפּוּס,1,2
קנ״מ,mine,קנה-מידה,1,443
קנ״מ,mine,קבוצת ניצול משאבים,1,0
ה״ט,reject,הלכה ט',1,185
ה״ט,reject,האי טעמא - זה הטעם,1,0
שמ״ע,mine,(תפילת) שמונה עשרה,1,136
שמ״ע,mine,שחרית מנחה ערבית,1,45
מש״צ,mine,משולש שווה צלעות,1,124
מש״צ,mine,מרכז שכבה צעירה,1,0
גח״ל,mine,גיוס חוץ לארץ,1,120
גח״ל,mine,מפלגת עבר,1,1
בס״ט,reject,בעל שם טוב,1,116
בס״ט,reject,בן ספרד טהור,1,0
צ״ס,mine,ציונים סוציאליסטים,1,115
צ״ס,mine,צירוף סל,1,1
צ״ס,mine,צרת סוטה,1,0
בי״ע,mine,בית־עסק,1,108
בי״ע,mine,בריאה יצירה עשיה,1,4
שכ״ט,mine,שכר־טרחה,1,104
שכ״ט,mine,שכר־טוראי,0,0
מש״ש,mine,משולש שווה שוקיים,1,88
מש״ש,mine,מדריך שנת שרות,0,0
מש״ש,mine,מה ששנינו שם,0,0
רמא״ג,mine,רמת אביב ג',1,68
רמא״ג,mine,מרדכי אהרן גינצבורג (1795,1,2
ריב״א,mine,רבי יצחק בן אברהם מנרבונה,1,42
ריב״א,mine,רבי יצחק בן אברהם משאנץ,1,3
ריב״א,mine,רבי יצחק בן אשר הלוי השני,1,2
ריב״א,mine,רבי יצחק בן אשר הלוי משפיירא,1,2
ריב״א,mine,רבי יהודה בן אליעזר מטרואה,1,1
אז״ר,mine,אלכסנדר זיסקינד רבינוביץ',1,44
אז״ר,mine,אויב זרק רימון,1,0
למ״ד,mine,האות ל',1,24
למ״ד,mine,למאן דאמר,1,3
ד״ט,reject,דף ט,1,25
ד״ט,reject,ד טפחים,1,0
ק״נ,mine,קרבן נתנאל,1,17
ק״נ,mine,150 (מספר),1,7
להב״ה,mine,למניעת התבוללות בארץ הקודש,1,10
להב״ה,mine,לצמצום הפער הדיגיטלי בחברה הישראלית,1,6
הועה״מ,unsure,הועד המרכזי,1,7
הועה״מ,unsure,הועדה המרכזת,1,2
הועה״מ,unsure,הועדה המתמדת,1,1
הועה״מ,unsure,הועדה המסדרת,1,0
פל״ם,mine,פטרול לוחם,1,9
פל״ם,mine,פלוגת ממתינים,1,1
זק״ש,mine,זרע קדושים,1,4
זק״ש,mine,זרע קדושים שנשרפו,1,2
זק״ש,mine,זרע קודש שמו,1,1
זק״ש,mine,זרע קדושי שפיירא,1,0
מלמ״ש,reject,מיליון מטר מעוקב לשנה,1,6
מלמ״ש,reject,מרכז ללימודי משטרה,1,1
עב״ס,reject,ערך בסיכון,1,6
עב״ס,reject,עבודות בסיס,1,1
מחב״ש,reject,מחלקת ביטחון שדה,1,6
מחב״ש,reject,מלוגמא חמין במוצאי שבת,1,0
מח״מ,mine,משך חיים ממוצע,1,5
מח״מ,mine,מרכז חינוכי משותף,1,1
נר״ו,reject,נפש רוח ונשמה,1,6
נר״ו,reject,נַטְרֵיהּ רַחֲמָנָא וּפַרְקִיהּ (ישמרהו הרחמן ויפדהו),1,0
נר״ו,reject,נטריה רחמנא וחיננא,1,0
נר״ו,reject,נצרהו רחמנא ונטרהו,1,0
בי״ר,reject,ביאליק-רבניצקי,1,5
בי״ר,reject,בן יוסף רופא (שם משפחה),1,0
שב״ת,mine,שינה בשבת תענוג,1,4
שב״ת,mine,שיני בנים תקהינה,1,1
שד״ר,mine,שדה ראיה,1,3
שד״ר,mine,שְׁלוּחָא דְרַבָּנָן,1,2
חג״ם,mine,חיילות גיוס מיוחד,1,3
חג״ם,mine,חיל הגנה מרחבית,1,1
רש״ש,mine,רבי שלום שבזי (1619,1,1
רש״ש,mine,רבי שלום שרעבי (1720/1703,1,1
רש״ש,mine,רבי שמואל שְׂטְרָאשׁוּן (1793,1,1
רש״ש,mine,רבי שמעון שְׁקוֹפּ (1860,1,1
שב״ד,reject,שליחי בית דין,1,4
שב״ד,reject,שופטי בית דין,1,0
שליט״א,reject,שיחיה לאורך ימים טובים אמן,1,4
שליט״א,reject,"שיזכה לחיים (גם: לימים) יפים, טובים וארוכים",1,0
שליט״א,reject,שיזכה לחיים יותר טובים אמן,1,0
שליט״א,reject,שיזכה לימים טובים וארוכים,1,0
ברב״ש,reject,בן רבי שניאור,1,3
ברב״ש,reject,בן רבי בונים שמואל,1,0
ברב״ש,reject,ברבנו בכור שור,1,0
ברב״ש,reject,ברן בן שמעון,1,0
גר',reject,גְּרָם,1,2
גר',reject,גֵּרים,1,1
גר',reject,"גָּרַס, גרסינן",1,0
גר',reject,גרמא - תוצאה לא ישרה של מעשה,1,0
ה״מ,reject,הפסקת מסחר,1,3
ה״מ,reject,הוה מצי (=היה יכול),1,0
ה״מ,reject,"היכי מצי (=איפה מצינו, איך אפשר)",1,0
ה״מ,reject,הני מילי (=מילים אילו),1,0
ה״מ,reject,הערת מתרגם,1,0
לע״ז,reject,לשון עם זר,1,3
לע״ז,reject,גזירת נוטריקון מן המילה לעז המשנאית,1,0
מזי״א,mine,מזרע ישראל איסרלן,1,2
מזי״א,mine,מזרע יהודים אנוסים,1,1
מש״ל,mine,מה שצריך להוכיח,1,3
מש״ל,mine,(מתמטיקה) מה שהיה להוכיח,0,0
מש״ל,mine,מרכז שרות לציבור,0,0
נגה״ש,reject,נס גדול היה שם,1,3
נגה״ש,reject,"המקור הוא ביידיש, לפי ארבע אפשרויות במשחק הגרלה",1,0
חרד״ק,reject,חרדי קל דעת,1,2
חרד״ק,reject,חתן (או חכם) רבי דוד קמחי,1,0
חרד״ק,reject,חתן ר' דוד קלונימוס (קלמן),1,0
יס״ב,reject,יד סולדת בו,1,2
יס״ב,reject,יחידת סיור הבנקים,1,0
מג״מ,reject,מפקד גף מטוסים,1,2
מג״מ,reject,מרכז גיוס מרחבי,1,0
ממ״י,reject,מִנהל מקרקעי ישראל,1,2
ממ״י,reject,משפט מגדיר יחס,1,0
נוג״ה,reject,נורדיה גנות הדר,1,2
נוג״ה,reject,נוער וגיל ההתבגרות,1,0
אב״ם,mine,אזור ביטחוני מיוחד,1,1
אב״ם,mine,(חיל האוויר) אבטחת מידע,1,0
אב״ם,mine,אבטחת מִבצעים,1,0
אב״ם,mine,"אגף האִרגון, הבקרה והמִנהל",1,0
אב״צ,mine,אקדמיה בזמן צבא,1,1
אב״צ,mine,אבטחת ציבור,1,0
אב״צ,mine,אביזר צמוד,1,0
בזנ״ט,reject,ברזל זווית נגד טנקים,1,1
בזנ״ט,reject,"בהשאלה, סלנג דבר חזק ומשובח",1,0
דנ״א,reject,דיון נוסף אזרחי,1,1
דנ״א,reject,DNA. תעתוק עברי של חומצה דאוקסיריבונוקלאית,1,0
ודו״ק,reject,ודייק ותמצא קל,1,1
ודו״ק,reject,דרוש וחקור קרוב,1,0
ודו״ק,reject,ודוחק קצת,1,0
ודו״ק,reject,ודקדק ומצא קושטא,1,0
ודו״ק,reject,ועיין דברי ותמצאם קלים,1,0
חרל״פ,reject,חייא ראש לגולי פורטוגל,1,1
חרל״פ,reject,חייא ראש לבני פולין,1,0
חרל״פ,reject,חייא ראש לגליל פורטוגל,1,0
חרל״פ,reject,"חכמים, רבנים, למדנים, פרשנים",1,0
יק״ר,mine,יחידה לקנאביס רפואי,1,1
יק״ר,mine,יחידות קישור רפואית,1,0
למ״ה,reject,למורי הרב,1,1
למ״ה,reject,לא מפי הרב,1,0
ל״ג,reject,לא גרסינן,1,1
ל״ג,reject,גימטריה 33,1,0
ל״ג,reject,למד הפועל גרונית,1,0
מב״ט,reject,מטוס בלי טייס,1,1
מב״ט,reject,מרכז בקרה טכנולוגי,1,0
פס״ד,reject,פסידא דלקוחות,1,1
פס״ד,reject,פסק(י) דין,1,0
ראב״ד,reject,ראש בית דין או ראש אבות בתי דין,1,1
ראב״ד,reject,שם משפחה נפוץ אצל יהדות יוצאי אירופה,1,0
תפ״ח,reject,תיק פשעים חמורים,1,1
תפ״ח,reject,תיק פלילי חמור,1,0
אבי״ר,reject,"אדוננו, בוראנו, יוצרנו ורופאנו - מידותיו של הקדוש ברוך הוא",1,0
אבי״ר,reject,"אמונה, ביטחון, יראה ורחמנות - מידותיו של הלוחם",1,0
אגו״ז,reject,"איכון, גילוי וזיהוי",1,0
אגו״ז,reject,אנטי גרילה ולוחמה זעירה,1,0
איו״ב,reject,(חתימה של סופר עברי) אני יוסף בריל,1,0
איו״ב,reject,אשרי יושבי ביתך (מילים פותחות פרק בתהלים ובתפילה),1,0
אס״ק,mine,אווירת סוף קו,1,0
אס״ק,mine,אווירת סוף קורס,1,0
אס״ק,mine,אי ספיקה (רפואה),1,0
בע״ח,unsure,"בעל חוב, בעל חובו, בעלי חוב",1,0
בע״ח,unsure,"בעל חיים, בעלי חיים",1,0
ברי״ט,reject,בן רבי ישראל טוביה,1,0
ברי״ט,reject,בני רבי יום טוב,1,0
דחב״ש,reject,דור חורבן בית שני,1,0
דחב״ש,reject,דור חכמי בית שני,1,0
ה״נ,reject,הוה נמי (=היה גם),1,0
ה״נ,reject,הכא/הכי נמי (=כאן/כך גם),1,0
ונ״ל,reject,ונקל להבין,1,0
ונ״ל,reject,ונראה לומר,1,0
חר״ג,reject,חרם (ד)רבינו גרשום,1,0
חר״ג,reject,חתן רבי גבריאל,1,0
ט״ז,reject,המספר שש עשרה בגימטריה,1,0
ט״ז,reject,חיבורו של רבי דוד הלוי סגל על השולחן ערוך,1,0
יט״א,reject,יחידת טיפול אוויר,1,0
יט״א,reject,יחידת טיפול אקלים,1,0
יע״א,reject,יחוננך עליון אמן,1,0
יע״א,reject,"יכתב על עיר: 1.יגן עליה (עליך, עלינו, וכו') אלהים",1,0
כנ״ל,unsure,כך נראה לי (או: כן נראה לי),1,0
כנ״ל,unsure,"כנאמר לעיל (או: כנזכר לעיל, כנכתב לעיל)",1,0
כנ״ל,unsure,כנאמר לקמן כנזכר להלן,1,0
כנ״ל,unsure,כנכון לגביי,1,0
למל״מ,unsure,לא מועיל לא מזיק,1,0
למל״מ,unsure,לא מריח לא מסריח,1,0
ל״ב,reject,להגמל במאסר,1,0
ל״ב,reject,שלושים ושניים בגימטריה,1,0
מה״ט,reject,המכון הממשלת להכשרה בטכנולוגיה ובמדע,1,0
מה״ט,reject,מהאי טעמא,1,0
מט״ש,mine,מְכוֹן טִהוּר שְׁפָכִים,1,0
מט״ש,mine,מִתְקָן טִהוּר שְׁפָכִים,1,0
מלר״ם,mine,מוקד לשירותים רפואיים,1,0
מלר״ם,mine,מערך ל'רפואה מונעת,1,0
מר״צ,mine,מאמר רננו צדיקים,1,0
מר״צ,mine,מורנו רבנו צעיר/צדיק,1,0
מר״צ,mine,מצוה רצונית,1,0
נמ״ר,mine,נודניק מדרגה ראשונה,1,0
נמ״ר,mine,ניהול מערכות רפואיות,1,0
נמ״ר,mine,ניהול מרכזים רפואיים,1,0
עב״ג,mine,עם בחיר/ת גורלו/ה,1,0
עב״ג,mine,"עם בן גילה, עם בת גילו",1,0
עב״ל,mine,עם בחיר/ת לבה/ו,1,0
עב״ל,mine,עם בן/בת לוייתו/לוייתה,1,0
עה״ת,unsure,(חיבור פרשני) על התורה,1,0
עה״ת,unsure,ערך היסק תחתון,1,0
עו״ש,mine,בהשאלה עובר אורח ברחוב או בכל מקום ציבורי,1,0
עו״ש,mine,עוֹבֵר וָשָׁב.(סוג חשבון בנק),1,0
ערעור,reject,אי הסכמה עם טענה,1,0
ערעור,reject,"עקירת יסודות, ביטול יציבות של דבר עומד",1,0
פמ״א,reject,פנים מאירות (ספר),1,0
פמ״א,reject,פרח מטה אהרן (ספר),1,0
צל״ח,mine,צלום חזה,1,0
צל״ח,mine,רבי' יחזקאל לנדא - על שם ספרו - ציון לנפש חיה,1,0
רע״ם,mine,"רימון רסס, עשן, מטען",1,0
רע״ם,mine,ריענון ערכות מגן,1,0
רע״ם,mine,רפואה עורפית מתקדמת,1,0
רע״ם,mine,שמו של האיחוד* בין סוריה למצרים בין השנים 1958 לבין 1961,1,0
ש״ה,reject,שִׁיר הַיִּחוּד the Hymn of Unity,1,0
ש״ה,reject,שִׁיר הַמַּעֲלוֹת Song of Degrees,1,0
ש״ה,reject,שֵֹם הַמְפׂרָשׁ the Ineffable Name,1,0
תד״ל,mine,תובלת דרג לוחם,1,0
תד״ל,mine,תיק דרך לחייל,1,0
תל״ן,reject,תוצר לאומי נקי,1,0
תל״ן,reject,תכנית לימודים נוספת,1,0
