acronym,page_title,expansion,hits,script,initials_match,looks_like_person,raw_line
AI,AI,אדובי אילוסטרייטור,15,latin,,False,אדובי אילוסטרייטור (Adobe Illustrator)
AI,AI,קלט אנלוגי,2,latin,,False,קלט אנלוגי (Analog Input)
AI,AI,בינה מלאכותית,1793,latin,,False,בינה מלאכותית (Artificial Intelligence)
AI,AI,מד אופק מלאכותי,4,latin,,False,מד אופק מלאכותי (Attitude Indicator)
AI,AI,ad interim (ביטוי לטיני),1,latin,,False,ad interim (ביטוי לטיני) - לפי שעה
AI,AI,איי איי (זמרת),1,latin,,False,איי איי (זמרת) - זמרת-יוצרת יפנית-אמריקנית
AI,AI,איי וייוויי,24,latin,,False,איי וייוויי – אמן סיני
AI,AI,A.I. (שיר של ואן ריפאבליק),1,latin,,False,A.I. (שיר של ואן ריפאבליק)
AI,AI,A.i. (להקה),1,latin,,False,A.i. (להקה) - להקה אמריקנית
AI,AI,אמריקן איידול,305,latin,,False,אמריקן איידול (AI) - תוכנית מציאות אמריקנית
AI,AI,אינטליגנציה מלאכותית (סרט),5,latin,,False,אינטליגנציה מלאכותית (סרט) (A.I. Artificial Intelligence) - סרט מדע בדיוני אמריקני
ATM,ATM,כספומט,53,latin,,False,"כספומט – מסוף אוטומטי המספק שירותי בנקאות; נקרא באנגלית ""ATM"", קיצור של Automatic Teller Machine"
ATM,ATM,ATM (שיר),2,latin,,False,"ATM (שיר) – שיר של ג'יי קול, ראשי תיבות של ""Addicted To Money"""
BPM,BPM,ניהול תהליכים עסקיים,9,latin,,False,ניהול תהליכים עסקיים – תוכנת תשתית המתארת ומבצעת תהליכים עסקיים באמצעות מחשב
BPM,BPM,מכללת BPM,34,latin,,False,"מכללת BPM – מוסד ישראלי ללימוד מקצועות המוזיקה, הסאונד וההפקה המוזיקלית"
BPM,BPM,120 פעימות בדקה,45,latin,,False,120 פעימות בדקה – סרט קולנוע צרפתי
CDC,CDC,תאגיד קונטרול דאטה,1,latin,,False,תאגיד קונטרול דאטה (Control Data Corporation) – חברת מחשבים אמריקאית שפעלה בשנים 1957–1992
CDC,CDC,מרכז ידיעות קרב,13,latin,,True,"מרכז ידיעות קרב (Combat Direction Center, ""מרכז הנחיית קרב"") – סוג של מרכז טקטי הנמצא בספינות מלחמה, צוללות ומטוסי שליטה ובקרה צבאיים"
CDC,CDC,"(בתרגום חופשי ""לכידת מידע שהשתנה"")",21,latin,,False,"(בתרגום חופשי ""לכידת מידע שהשתנה"") – אוסף תבניות עיצוב תוכנה שנועדו לנטר שינויים אחרונים במסד נתונים"
DNA,DNA (פירושונים),מולקולת ענק של חומצת גרעין הבנויה כשרשרת נוקלאוטידים,3,latin,,False,DNA – מולקולת ענק של חומצת גרעין הבנויה כשרשרת נוקלאוטידים
DNA,DNA (פירושונים),DNA (אלבום),5,latin,,False,DNA (אלבום) – אלבום הבכורה של ליטל מיקס משנת 2012
DNA,DNA (פירושונים),DNA (שיר של ליטל מיקס),2,latin,,False,DNA (שיר של ליטל מיקס) – שיר הנושא של האלבום
DNA,DNA (פירושונים),DNA (שיר של BTS) משנת 2017,1,latin,,False,DNA (שיר של BTS) משנת 2017
DNA,DNA (פירושונים),DNA (שיר של קנדריק לאמאר) משנת 2017,1,latin,,False,DNA (שיר של קנדריק לאמאר) משנת 2017
NBL,NBL,ליגת ה-NBL,48,latin,,True,ליגת ה-NBL (National Basketball League) – ליגת עבר אמריקאית בכדורסל (1937–1949) שהתמזגה עם ליגת ה-BAA ליצירת ה-NBA
NBL,NBL,ליגת העל האוסטרלית בכדורסל,18,latin,,False,ליגת העל האוסטרלית בכדורסל (National Basketball League) – ליגת הכדורסל הלאומית של אוסטרליה
NBL,NBL,ליגת העל הצ'כית בכדורסל,4,latin,,False,ליגת העל הצ'כית בכדורסל (Národní basketbalová liga) - ליגת הכדורסל הבכירה בצ'כיה
NBL,NBL,המעבדה לציפה נייטרלית,2,latin,,True,"המעבדה לציפה נייטרלית (Neutral Buoyancy Laboratory) - מתקן של נאס""א ביוסטון לאימון אסטרונאוטים בתנאי חוסר משקל"
NBL,NBL,קיצור לשמו של החומר n-בוטילליתיום,1,latin,,False,"קיצור לשמו של החומר n-בוטילליתיום (n-butyllithium), ראו בוטילליתיום"
NGA,NGA,הקוד של ניגריה בתקן ISO 3166-1,1,latin,,False,הקוד של ניגריה בתקן ISO 3166-1
NGA,NGA,ראשי תיבות באנגלית של הגלריה הלאומית לאמנות בארצות הברית,1,latin,,False,ראשי תיבות באנגלית של הגלריה הלאומית לאמנות בארצות הברית
NGA,NGA,ראשי תיבות באנגלית של הגלריה הלאומית של אוסטרליה,1,latin,,False,ראשי תיבות באנגלית של הגלריה הלאומית של אוסטרליה
NGA,NGA,ראשי תיבות באנגלית של אגודת המושלים הלאומית בארצות הברית,1,latin,,False,ראשי תיבות באנגלית של אגודת המושלים הלאומית בארצות הברית
NSC,NSC,המועצה לביטחון לאומי של ארצות הברית,73,latin,,False,"המועצה לביטחון לאומי של ארצות הברית – באנגלית: National Security Council, הגוף המייעץ לנשיא ארצות הברית בנושאי מדיניות חוץ וביטחון לאומי"
NSC,NSC,ועדת הקבינט לביטחון לאומי של אוסטרליה,5,latin,,False,"ועדת הקבינט לביטחון לאומי של אוסטרליה – באנגלית: Cabinet National Security Committee, ועדה במחלקת ראש הממשלה והקבינט של ממשלת אוסטרליה המופקדת על פיקוח כל הנושאים הקשורים לביטחון הלאומי, תיאום מודיעיני ואסטרטגיה ביטחונית"
NSC,NSC,חוזה חברתי חדש,12,latin,,False,"חוזה חברתי חדש – בהולנדית: Nieuw Sociaal Contract, מפלגה פוליטית בהולנד שהושקה והובלה על ידי פיטר אומטזיכט"
NSC,NSC,מועדון הכדורגל נאשוויל,3,latin,,False,"מועדון הכדורגל נאשוויל – באנגלית: Nashville Soccer Club, מועדון כדורגל מהעיר נאשוויל, בירת מדינת טנסי"
NSC,NSC,מרכז החלל הלאומי בלסטר,4,latin,,False,"מרכז החלל הלאומי בלסטר – באנגלית: National Space Centre, מוזיאון ומשאב חינוכי המכסה את תחומי מדעי החלל והאסטרונומיה, שוכן בלסטר שבאנגליה"
OVA,OVA,אנימה (יצירה מונפשת יפנית) שנועדה מראש להפצה לווידאו ביתי,1,latin,,False,"אנימה (יצירה מונפשת יפנית) שנועדה מראש להפצה לווידאו ביתי, ראו אנימה (הנפשה)#OVA"
OVA,OVA,מיזם שיתופי של קרן לינוקס שפעל בשנים 2013,1,latin,,False,"מיזם שיתופי של קרן לינוקס שפעל בשנים 2013–2016, לפיתוח תוכנות קוד פתוח חופשיות שניתן להריץ בסביבות עבודה וירטואליות, ראו גם וירטואליזציה"
OVA,OVA,Ova (קיצור ל,1,latin,,False,"Ova (קיצור ל–Ovalbumin) – אובלבומין, החלבון העיקרי בחלבון הביצה"
VAC,VAC,טיפול בפצע באמצעות לחץ שלילי הידוע גם בשם VAC,1,latin,,False,טיפול בפצע באמצעות לחץ שלילי הידוע גם בשם VAC (ראשי תיבות של Vacuum Assisted Closure)
