item_id,acronym,sentence,provisional_expansion,sense_id,gold_expansion,label_status,n_candidates,candidates,provenance,multi_sense_type,source,page_title,review_verdict,review_note,label_origin,category
ha-03387,אז״ר,"איחוד שני הארגונים הביא לגיבוש שם היישוב: כפר אז""ר, על שם אז""ר שהיה באותה העת עוד בחיים, וזאת כהוקרה על פועלו ותמיכתו בתנועת הפועלים.",אלכסנדר זיסקינד רבינוביץ',אז״ר.deglossed,אלכסנדר זיסקינד רבינוביץ',weak,2,אלכסנדר זיסקינד רבינוביץ' | אויב זרק רימון,deglossed,unknown,wikipedia,"כפר אז""ר",unreviewed,,deglossed,wiki_deglossed
ha-03388,פל״ם,"בכל אחד ממושבי הגוש והסביבה, היה כוח של ההגנה, כיתת פל""ם שהורכבה מצעירים שאומנו בנשק, באימוני שדה ברמת הכיתה, והיו חברי ההגנה.",פטרול לוחם,פל״ם.deglossed,פטרול לוחם,weak,2,פטרול לוחם | פלוגת ממתינים,deglossed,unknown,wikipedia,קרב טירה,unreviewed,,deglossed,wiki_deglossed
ha-03389,מלמ״ש,"יחידת מידה קטנה יותר, אך משקפת ספיקה על פני תקופה ארוכה יותר, היא מלמ""ש.",מיליון מטר מעוקב לשנה,מלמ״ש.deglossed,מיליון מטר מעוקב לשנה,weak,2,מיליון מטר מעוקב לשנה | מרכז ללימודי משטרה,deglossed,unknown,wikipedia,מטר מעוקב לשנייה,unreviewed,,deglossed,wiki_deglossed
ha-03390,מע״ש,"מע""ש מסגרות יומיות טיפוליות או סיעודיות, לפי הצורך.",מפעל עבודה שיקומי,מע״ש.deglossed,מפעל עבודה שיקומי,weak,3,מסכת מעשר שני | מערכת שעות | מפעל עבודה שיקומי,deglossed,unknown,wikipedia,מוגבלות שכלית התפתחותית,unreviewed,,deglossed,wiki_deglossed
ha-03391,שח״ל,"בראשית שנת 1987 הקים יחד עם גיסו, יורם אלרואי, את חברת הרפואה הפרטית שח""ל, ארגון המעניק שירות רפואי לחולי מחלות לב.",שירות חולי לב,שח״ל.deglossed,שירות חולי לב,weak,4,שמואל חיים לנדוי | שירות חלוצי לישראל | שירות חולי לב | שירות חירום לחולים,deglossed,unknown,wikipedia,אילון שליו,unreviewed,,deglossed,wiki_deglossed
ha-03392,חפ״ק,"חפ""ק ברמת היחידה הלוחמת, (באנגלית: Tac – Tactical HQ).",חבורת פיקוד קדמית,חפ״ק.deglossed,חבורת פיקוד קדמית,weak,2,חבורת פיקוד קדמית | חונה פה קהילת,deglossed,unknown,wikipedia,מפקדה,unreviewed,,deglossed,wiki_deglossed
ha-03393,חפ״ק,"בקרבת מקום, בגבעת שאול, הוקם חפ""ק של ""ההגנה"" שבו נמצא מפקד ירושלים דוד שאלתיאל ביחד עם מפקד גדוד ""מוריה"", זלמן מרט.",חבורת פיקוד קדמית,חפ״ק.deglossed,חבורת פיקוד קדמית,weak,2,חבורת פיקוד קדמית | חונה פה קהילת,deglossed,unknown,wikipedia,פרשת דיר יאסין,unreviewed,,deglossed,wiki_deglossed
ha-03394,חק״ש,"בהמשך עבר לחטיבה 17 שלימים הפכה לחטיבת גבעתי (חטיבה 5) בפיקודו של זוניק שחם, שם פיקד על גדוד 964, שהיה גדוד חק""ש.",חיל קשישים,חק״ש.deglossed,חיל קשישים,weak,2,חוקר שבויים | חיל קשישים,deglossed,unknown,wikipedia,אמנון ענבר,unreviewed,,deglossed,wiki_deglossed
ha-03395,ענ״א,"הגעתי לשם אחרי שלמדתי כלכלה באוניברסיטה, ושם גיליתי את עולם ה-IT, שאז קראו לזה ענ""א.",עיבוד נתונים אלקטרוני,ענ״א.deglossed,עיבוד נתונים אלקטרוני,weak,2,עיבוד נתונים אוטומטי | עיבוד נתונים אלקטרוני,deglossed,unknown,wikipedia,פלי הנמר פלד,unreviewed,,deglossed,wiki_deglossed
ha-03396,צב״י,"כיהן כנשיא ארגון בעלי הסטומה בישראל וכיושב ראש ארגון הגג צב""י, והיה ממובילי המאבק לשיפור זכויות החולים, קידום סל התרופות והציוד הרפואי ושמירה על זכויות סוציאליות במערכת הבריאות הציבורית בישראל.",צרכני בריאות ישראל,צב״י.deglossed,צרכני בריאות ישראל,weak,3,צדיק באמונתו יחיה | צרכני בריאות ישראל | צעיר באלפי ישראל,deglossed,unknown,wikipedia,מידד גיסין,unreviewed,,deglossed,wiki_deglossed
ha-03335,להב״ה,"להב""ה הוא ארגון ימין קיצוני לאומני-יהודי ישראלי, שהוקם על ידי בנצי גופשטיין.",למניעת התבוללות בארץ הקודש,להב״ה.deglossed,למניעת התבוללות בארץ הקודש,weak,2,למניעת התבוללות בארץ הקודש | לצמצום הפער הדיגיטלי בחברה הישראלית,deglossed,unknown,wikipedia,"להב""ה – למניעת התבוללות בארץ הקודש",unreviewed,,deglossed,wiki_deglossed
ha-03337,להב״ה,"מרזל נתפס כדמות מרכזית בארגון ""להב""ה"", הפועל נגד נישואי תערובת.",למניעת התבוללות בארץ הקודש,להב״ה.deglossed,למניעת התבוללות בארץ הקודש,weak,2,למניעת התבוללות בארץ הקודש | לצמצום הפער הדיגיטלי בחברה הישראלית,deglossed,unknown,wikipedia,ברוך מרזל,unreviewed,,deglossed,wiki_deglossed
ha-03340,להב״ה,"אחד הגופים המקדמים מאבק בארגונים דתיים לא יהודים הוא להב""ה שמנהלו, בנצי גופשטיין, הביע תמיכה בפגיעה במוסדות דת נוצריים.",למניעת התבוללות בארץ הקודש,להב״ה.deglossed,למניעת התבוללות בארץ הקודש,weak,2,למניעת התבוללות בארץ הקודש | לצמצום הפער הדיגיטלי בחברה הישראלית,deglossed,unknown,wikipedia,פשע שנאה,unreviewed,,deglossed,wiki_deglossed
ha-03344,להב״ה,"להב""ה הוא מיזם של ממשלת ישראל שהחל בשנת 2001, שמטרתו צמצום פערים בשימוש בטכנולוגיית המידע בחברה הישראלית.",לצמצום הפער הדיגיטלי בחברה הישראלית,להב״ה.deglossed,לצמצום הפער הדיגיטלי בחברה הישראלית,weak,2,למניעת התבוללות בארץ הקודש | לצמצום הפער הדיגיטלי בחברה הישראלית,deglossed,unknown,wikipedia,"להב""ה - לצמצום הפער הדיגיטלי בחברה הישראלית",unreviewed,,deglossed,wiki_deglossed
ha-03349,להב״ה,"הוא חבר בוועדות העריכה של מספר כתבי עת מדעיים ודירקטור במספר חברות לתועלת הציבור ובמלכ""רים, בהם שירות ייעוץ לאזרח, להב""ה, StartUpSeeds ו-NPTech.",לצמצום הפער הדיגיטלי בחברה הישראלית,להב״ה.deglossed,לצמצום הפער הדיגיטלי בחברה הישראלית,weak,2,למניעת התבוללות בארץ הקודש | לצמצום הפער הדיגיטלי בחברה הישראלית,deglossed,unknown,wikipedia,שיזף רפאלי,unreviewed,,deglossed,wiki_deglossed
ha-03355,להב״ה,"בשנת 2001 הקימה הממשלה את מיזם ""להב""ה"", שמטרתו צמצום פערים בשימוש בטכנולוגיית המידע בחברה הישראלית.",לצמצום הפער הדיגיטלי בחברה הישראלית,להב״ה.deglossed,לצמצום הפער הדיגיטלי בחברה הישראלית,weak,2,למניעת התבוללות בארץ הקודש | לצמצום הפער הדיגיטלי בחברה הישראלית,deglossed,unknown,wikipedia,הפער הדיגיטלי,unreviewed,,deglossed,wiki_deglossed
