item_id,acronym,sentence,provisional_expansion,sense_id,gold_expansion,label_status,n_candidates,candidates,provenance,multi_sense_type,source,page_title,review_verdict,review_note,label_origin,category
ha-00156,אמ״ש,"עמיחי שי (נולד ב-1952) הוא ניצב בדימוס במשטרת ישראל, בתפקידו האחרון כיהן כראש אמ״ש.",אגף משאבי אנוש,אמ״ש.01,אגף משאבי אנוש,weak,2,אגף משאבי אנוש | אוויר מים אש,substituted,no,wikipedia,עמיחי שי,unreviewed,,substitution,wiki_substituted
ha-00157,אמ״ש,"בשנת 2001 הועלה לדרגת ניצב, ומונה לראש אמ״ש.",אגף משאבי אנוש,אמ״ש.01,אגף משאבי אנוש,weak,2,אגף משאבי אנוש | אוויר מים אש,substituted,no,wikipedia,משה קראדי,unreviewed,,substitution,wiki_substituted
ha-00158,אמ״ש,בועז גולדברג (נולד ב-1963) הוא קצין משטרה בדרגת ניצב וכיהן כראש אמ״ש.,אגף משאבי אנוש,אמ״ש.01,אגף משאבי אנוש,weak,2,אגף משאבי אנוש | אוויר מים אש,substituted,no,wikipedia,בועז גולדברג,unreviewed,,substitution,wiki_substituted
ha-00159,אמ״ש,"תערוכה נוספת שלו, בנושא ""יהודה ושומרון לפי ארבעת היסודות, אדמה אמ״ש"", בהנחייתו של זיו קורן במסגרת עמותת אחים לחיים, הוצגה באפריל 2013 בניו יורק ובערים רבות בישראל מאז יולי 2013.",אוויר מים אש,אמ״ש.02,אוויר מים אש,weak,2,אגף משאבי אנוש | אוויר מים אש,substituted,no,wikipedia,אהוד אמיתון,unreviewed,,substitution,wiki_substituted
ha-00978,הי״ו,על כן נחשב סם המרקוח לחומר הי״ו ביותר ביקום והשולט בו ובתהליך כרייתו אוצר כח עצום.,היקר והחשוב,הי״ו.01,היקר והחשוב,weak,2,היקר והחשוב | השם יחייהו ויחזקהו,substituted,no,wikipedia,חולית (ספר),unreviewed,,substitution,wiki_substituted
ha-00979,הי״ו,"נחשב לחומר הי״ו ביותר ביקום בשל יכולתו להאריך את החיים ולאפשר לנווטי גילדת החלל לחשב את מסלול קיפול החלל, ועל ידי כך לאפשר מסע ברחבי היקום באופן מיידי.",היקר והחשוב,הי״ו.01,היקר והחשוב,weak,2,היקר והחשוב | השם יחייהו ויחזקהו,substituted,no,wikipedia,חולית (ספר),unreviewed,,substitution,wiki_substituted
ha-01906,מע״ד,"לצידה הוקם ""ועד הכבוד להנצחת זכר מרדכי אנילביץ' וחללי מע״ד מרדכי"".",מערכת יד,מע״ד.01,מערכת יד,weak,2,מערכת יד | מכשיר עזר דיבורי,substituted,no,wikipedia,מוזיאון יד מרדכי משואה לתקומה,unreviewed,,substitution,wiki_substituted
ha-00349,א״ל,"א״ל: אני בוכה על שאנו נהרגים כעובדי עבודה זרה, כמחללי שבתות, כמגלֵּי עריות וכשופכי דמים.",אמר לו,א״ל.01,אמר לו,weak,3,אמר לו | אמר ליה | איכא למימר,substituted,yes,wikipedia,עשרת הרוגי מלכות,unreviewed,,substitution,wiki_substituted
ha-00350,א״ל,"א״ל: רבי, שמא סועד היית או ישֵן, ובאה אישה לשאול על נידתה ועל טומאתה וטהרתה, ואמרת לה: המתיני עד שאישן; והתורה אמרה ""כל אלמנה ויתום לא תענון אם ענה תענה אותו ...",אמר לו,א״ל.01,אמר לו,weak,3,אמר לו | אמר ליה | איכא למימר,substituted,yes,wikipedia,עשרת הרוגי מלכות,unreviewed,,substitution,wiki_substituted
ha-00351,א״ל,"בתלמוד הירושלמי מסופר, שפעם אחת רבי יהודה חלה בגרונו, והרופא א״ל שיתרפא רק אם ישתה חלב רותח.",אמר לו,א״ל.01,אמר לו,weak,3,אמר לו | אמר ליה | איכא למימר,substituted,yes,wikipedia,עשרת הרוגי מלכות,unreviewed,,substitution,wiki_substituted
ha-00352,א״ל,א״ל: כשהוא זורק למערכה דלוקה הוא זורק או למערכה שאינה דלוקה הוא זורק?,אמר ליה,א״ל.02,אמר ליה,weak,3,אמר לו | אמר ליה | איכא למימר,substituted,yes,wikipedia,רבי שמעון בן יוסי,unreviewed,,substitution,wiki_substituted
ha-00353,א״ל,"הוי אומר למערכה דלוקה הוא זורק - התם משום דלא אפשר.” ”מר רבי יונתן קומי רבי חייא רבה בשם רבי שמעון בר יוסי בר לקוניא; לוקין על תחומי שבת דבר תורה, א״ל רבי חייה רבה והלא אין בשבת אלא סקילה וכרת?",אמר ליה,א״ל.02,אמר ליה,weak,3,אמר לו | אמר ליה | איכא למימר,substituted,yes,wikipedia,רבי שמעון בן יוסי,unreviewed,,substitution,wiki_substituted
ha-00354,א״ל,"א״ל: צער גדול היה לנו בתיבה, בריה שדרכה להאכילה ביום האכלנוה ביום, שדרכה להאכילה בלילה האכלנוה בלילה.",אמר ליה,א״ל.02,אמר ליה,weak,3,אמר לו | אמר ליה | איכא למימר,substituted,yes,wikipedia,רב חנא בר ביזנא,unreviewed,,substitution,wiki_substituted
ha-02391,עמ״ט,"בדצמבר 2022, לאחר עמ״ט, ופתיחת תחנות חולון ובת ים חזר מרחב יפתח החל לשמו ההיסטורי – מרחב איילון.",עבודת מטה,עמ״ט.01,עבודת מטה,weak,2,עבודת מטה | עתודה מדעית טכנולוגית,substituted,no,wikipedia,מרחב איילון,unreviewed,,substitution,wiki_substituted
ha-02392,עמ״ט,"מחליפו של סומראל, הגנרל דאגלס מקארתור, הורה על עמ״ט מחודשת להשקתו המחודשת של העיטור ב-7 בינואר 1931, במהלכה הוצגו שלושה עיצובים.",עבודת מטה,עמ״ט.01,עבודת מטה,weak,2,עבודת מטה | עתודה מדעית טכנולוגית,substituted,no,wikipedia,לב הארגמן,unreviewed,,substitution,wiki_substituted
ha-02393,עמ״ט,"ברמה זו של פיקוד, ראוי שהמפקד יקיים עמ״ט ונוהלי קרב מסודרים לשם מיצוי עוצמת האוגדה ביעילות וברציפות.",עבודת מטה,עמ״ט.01,עבודת מטה,weak,2,עבודת מטה | עתודה מדעית טכנולוגית,substituted,no,wikipedia,אוגדה,unreviewed,,substitution,wiki_substituted
ha-02394,עמ״ט,"כ-19% מהתלמידים לומדים במסגרת תוכנית עמ״ט, לשעבר פעלה בבית הספר כתת-נחשון שהוחלפה בשנים האחרונות לכתת רמון.",עתודה מדעית טכנולוגית,עמ״ט.02,עתודה מדעית טכנולוגית,weak,2,עבודת מטה | עתודה מדעית טכנולוגית,substituted,no,wikipedia,תיכון בליך,unreviewed,,substitution,wiki_substituted
