item_id,acronym,gold,candidates,shown_order,response,correct,valid,multi_sense_type
ha-01004,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,הרבנות הראשית | הרב הראשי,B,True,True,yes
ha-01005,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,הרבנות הראשית | הרב הראשי,B,True,True,yes
ha-01006,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,הרב הראשי | הרבנות הראשית,A,True,True,yes
ha-01007,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,הרבנות הראשית | הרב הראשי,A,True,True,yes
ha-01008,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,הרבנות הראשית | הרב הראשי,A,True,True,yes
ha-01009,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,הרבנות הראשית | הרב הראשי,A,True,True,yes
ha-01194,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים","חומשים, מחזורים, סידורים | חומר מסווג",B,True,True,no
ha-01195,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים","חומשים, מחזורים, סידורים | חומר מסווג",B,True,True,no
ha-01196,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים","חומר מסווג | חומשים, מחזורים, סידורים",A,True,True,no
ha-00475,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי","בית דין למשמעת, בית דין משמעתי | בית דין מיוחד",B,True,True,no
ha-00476,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי","בית דין למשמעת, בית דין משמעתי | בית דין מיוחד",B,True,True,no
ha-00477,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי","בית דין למשמעת, בית דין משמעתי | בית דין מיוחד",B,True,True,no
ha-01188,חי״ש,חיל שריון,חיל שריון | חיל שדה,חיל שדה | חיל שריון,A,False,True,no
ha-01189,חי״ש,חיל שריון,חיל שריון | חיל שדה,חיל שדה | חיל שריון,A,False,True,no
ha-01190,חי״ש,חיל שריון,חיל שריון | חיל שדה,חיל שדה | חיל שריון,A,False,True,no
ha-02318,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,סמל שני | סימון שבילים,B,True,True,no
ha-02319,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,סימון שבילים | סמל שני,A,True,True,no
ha-02320,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,סמל שני | סימון שבילים,B,True,True,no
ha-02321,סמ״ש,סמל שני,סימון שבילים | סמל שני,סימון שבילים | סמל שני,B,True,True,no
ha-01497,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,כמו כן | כל כך | כיתת כוננות,C,True,True,yes
ha-01498,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,כל כך | כיתת כוננות | כמו כן,B,True,True,yes
