item_id,acronym,gold,candidates,shown_order,response,correct,valid,multi_sense_type
ha-01004,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,,הרב הראשי,True,True,yes
ha-01005,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,,הרב הראשי,True,True,yes
ha-01006,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,,הרבנות הראשית,False,True,yes
ha-01007,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,,הספרות הרבנית הראשית לישראל,False,False,yes
ha-01008,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,,ההרבנות הראשית לישראל,True,True,yes
ha-01009,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,,ההרבנות הראשית לישראל,True,True,yes
ha-01194,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים",,חומרים מסוכנים,False,False,no
ha-01195,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים",,מסמכים חסויים,False,False,no
ha-01196,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים",,חברת מגה סטור,False,False,no
ha-00475,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי",,בית דין מיוחד,True,True,no
ha-00476,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי",,בית דין מיוחד,True,True,no
ha-00477,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי",,בית דין מיוחד,True,True,no
ha-01188,חי״ש,חיל שריון,חיל שריון | חיל שדה,,חיל רגלים שדה,False,False,no
ha-01189,חי״ש,חיל שריון,חיל שריון | חיל שדה,,חיל שדה,False,True,no
ha-01190,חי״ש,חיל שריון,חיל שריון | חיל שדה,,חיל שדה,False,True,no
ha-02318,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,,סימון שבילים,True,True,no
ha-02319,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,,סימון שבילים,True,True,no
ha-02320,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,,סימון שבילים,True,True,no
ha-02321,סמ״ש,סמל שני,סימון שבילים | סמל שני,,סמל שני,True,True,no
ha-01497,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,,כיתת כוננות,True,True,yes
ha-01498,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,,כיתת כוננות,True,True,yes
ha-01499,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,,כוננות כוחות,False,False,yes
ha-01500,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,,כל כך,True,True,yes
ha-01501,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,,כל כך,True,True,yes
ha-01502,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,,כל כך,True,True,yes
ha-01503,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,,כלומר,False,False,yes
ha-01504,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,,כל כך,False,True,yes
ha-01505,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,,כמו כן,True,True,yes
ha-03282,תע״צ,תענית ציבור,תענית ציבור | תעודת עובד ציבור,,תענית ציבור,True,True,no
ha-01888,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,,מילימتر מרובע,False,False,no
ha-01889,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,,מילימטר רבוע,True,True,no
ha-01890,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,,מילימטר רבוע,True,True,no
ha-01891,ממ״ר,מפקד מרחב,מפקד מרחב | מילימטר רבוע,,מפקד מרחב,True,True,no
ha-00604,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,,בן גמליאל,True,True,yes
ha-00605,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,,בן גמלא,False,False,yes
ha-00606,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,,בן גמליאל,True,True,yes
ha-00607,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,,בני גד,True,True,yes
ha-00608,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,,בני גד,True,True,yes
ha-00609,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,,בן גוריון,False,True,yes
