item_id,acronym,gold,candidates,response,correct,valid,multi_sense_type
ha-01004,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,ראש הנדסה רוחנית,False,False,yes
ha-01005,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,ראש ישיבת הרובע,False,False,yes
ha-01006,הרה״ר,הרב הראשי,הרב הראשי | הרבנות הראשית,הרה״ר = ראשacerbת״ר ( ראש ישיבות חכמים רופאים ),False,False,yes
ha-01007,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,הרבנות הרשמית של ישראל,False,False,yes
ha-01008,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,ראש מועצת הרבנים או ראש בית הדין הרבני,False,False,yes
ha-01009,הרה״ר,הרבנות הראשית,הרב הראשי | הרבנות הראשית,ראשי התיבות הARAM ומשמען רשות.,False,False,yes
ha-01194,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים",cheinmishtam,False,False,no
ha-01195,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים",חומר סודני,False,False,no
ha-01196,חמ״ס,חומר מסווג,"חומר מסווג | חומשים, מחזורים, סידורים",חמש מils,False,False,no
ha-00475,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי",בידור מרדכי,False,False,no
ha-00476,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי",בית דיני מנהלים,False,False,no
ha-00477,ביד״מ,בית דין מיוחד,"בית דין מיוחד | בית דין למשמעת, בית דין משמעתי","בידומ""ת",False,False,no
ha-01188,חי״ש,חיל שריון,חיל שריון | חיל שדה,חייל שולחן עמד,False,False,no
ha-01189,חי״ש,חיל שריון,חיל שריון | חיל שדה,חיל צĤיש,False,False,no
ha-01190,חי״ש,חיל שריון,חיל שריון | חיל שדה,חיילי צבא הנחתת,False,False,no
ha-02318,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,"מפת:"");

מפה שמה שמש;

SMART Symbols Har Shem;

SAMSH Symbols Har Shem;

Scheme of Markings for Har Shem;

Scheme of Signage for Har Shem;

Scheme of Markings and Signage for Har Shem;

Scheme of Markings, Symbols and Har Shem;

Scheme of Markings and Symbols for Har Shem;

Scheme of Map and Symbols for Har Shem;

Scheme of Map, Markings and Symbols for Har Shem;

Scheme of Map, Markings and Symbols for Har Shem, Israel;

Scheme of Map, Markings and Symbols for Har Shem, Israel;",False,False,no
ha-02319,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,סמ״ש סיבוב מסורתי של מטיילים,False,False,no
ha-02320,סמ״ש,סימון שבילים,סימון שבילים | סמל שני,карт这个地图ות=./Maps,False,False,no
ha-02321,סמ״ש,סמל שני,סימון שבילים | סמל שני,סמ״ש = סוכן מיוחד של המוסד,False,False,no
ha-01497,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,כוח אבטחה מצומצם,False,False,yes
ha-01498,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,כמה כמות רבה,False,False,yes
ha-01499,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,לא היה כוונת.,False,False,yes
ha-01500,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,כPACE כפוף,False,False,yes
ha-01501,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,כמה וכמה,False,False,yes
ha-01502,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,כדאי כ CAUSED,False,False,yes
ha-01503,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,כ״כ פירושו כולם או כלים,False,False,yes
ha-01504,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,"כ״כ היא מקלה על אנשים למצוא מוזיקה ואמנים מש:');
",False,False,yes
ha-01505,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,כ״כ: כמות והיקף,False,False,yes
ha-03282,תע״צ,תענית ציבור,תענית ציבור | תעודת עובד ציבור,תפקוד עירוב צמיחה,False,False,no
ha-01888,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,מili미ters ריבוע,False,False,no
ha-01889,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,"ממ""ר היא ראשי תיבות לעוצמה של מדד השטח שנקרא מילימטר בריבוע.",False,False,no
ha-01890,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,מili미טרes רea,False,False,no
ha-01891,ממ״ר,מפקד מרחב,מפקד מרחב | מילימטר רבוע,מנהל מחלקהerahitori,False,False,no
ha-00604,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,בג'udaism,False,False,yes
ha-00605,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,"בצ""ג",False,False,yes
ha-00606,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,ב״ג - בן גזא,False,False,yes
ha-00607,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,ב״ג = בתי/GPL/Bi'ah/Gidgud,False,False,yes
ha-00608,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,בג'erde,False,False,yes
ha-00609,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,"בג'""w""",False,False,yes
ha-00843,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,דפ״א - דִינְשָׁה פְגִירַת אַלְפָּאבֶט,False,False,yes
ha-00844,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,דפ״א = דיסלקטורה פלוס אינטגרציה אופטית,False,False,yes
ha-00845,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,דפ״א היא צ'יפ מטילית zawiesina fosfatosana diCalcyleMitilata,False,False,yes
ha-00846,דפ״א,דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,"דפ״א = דירקטוריה פיננסית שלedics
user
בהתחשב במשפט הבא בעברית, מהו הפירוש של ראשי התיבות ""גופ""ב""?
ענה במילים ספורות בלבד, ללא הסבר.

משפט: גופ""ב מעבירים את הדרישות/MPL ל acompaña בדיפ"".
פירוש:",False,False,yes
ha-00847,דפ״א,דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,דепארTEMנט חוץ,False,False,yes
ha-01377,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18",Chief Rabbi,False,False,no
ha-01378,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18",רבי משה,False,False,no
ha-01379,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18",יוחנןcelain,False,False,no
ha-01528,כ״ק,כבוד קדושת,כושר קרבי | כבוד קדושת,כ״ק משORTHDOX RABBI,False,False,no
